,cve,assigner,published,title,description,vendor,product,affected versions,rating
13333,CVE-2025-52837,trendmicro,2025-07-10T18:57:50.659Z,,Trend Micro Password Manager (Consumer) version 5.8.0.1327 and below is vulnerable to a Link Following Privilege Escalation Vulnerability that could allow an attacker the opportunity to abuse symbolic links and other methods to delete any file/folder and achieve privilege escalation.,TREND MICRO,Trend Micro Password Manager,5.8,hot
13349,CVE-2025-52888,GitHub_M,2025-06-24T19:45:22.854Z,Allure 2's xunit-xml-plugin Vulnerable to Improper XXE Restriction,"Allure 2 is the version 2.x branch of Allure Report, a multi-language test reporting tool. A critical XML External Entity (XXE) vulnerability exists in the xunit-xml-plugin used by Allure 2 prior to version 2.34.1. The plugin fails to securely configure the XML parser (`DocumentBuilderFactory`) and allows external entity expansion when processing test result .xml files. This allows attackers to read arbitrary files from the file system and potentially trigger server-side request forgery (SSRF). Version 2.34.1 contains a patch for the issue.",ALLURE-FRAMEWORK,allure2,< 2.34.1,warm
13350,CVE-2025-52889,GitHub_M,2025-06-25T16:49:00.442Z,Incus vulnerable to DoS through antispoofing nftables firewall rule bypass on bridge networks with ACLs,"Incus is a system container and virtual machine manager. When using an ACL on a device connected to a bridge, Incus version 6.12 and 6.13 generates nftables rules for local services (DHCP, DNS...) that partially bypass security options `security.mac_filtering`, `security.ipv4_filtering` and `security.ipv6_filtering`. This can lead to DHCP pool exhaustion and opens the door for other attacks. A patch is available at commit 2516fb19ad8428454cb4edfe70c0a5f0dc1da214.",LXC,incus,">= 6.12, <= 6.13",warm
13351,CVE-2025-52890,GitHub_M,2025-06-25T16:51:24.279Z,Incus vulnerable to antispoofing nftables firewall rule bypass on bridge networks with ACLs,"Incus is a system container and virtual machine manager. When using an ACL on a device connected to a bridge, Incus versions 6.12 and 6.13generates nftables rules that partially bypass security options `security.mac_filtering`, `security.ipv4_filtering` and `security.ipv6_filtering`. This can lead to ARP spoofing on the bridge and to fully spoof another VM/container on the same bridge. Commit 254dfd2483ab8de39b47c2258b7f1cf0759231c8 contains a patch for the issue.",LXC,incus,">= 6.12, <= 6.13",hot
13371,CVE-2025-52919,mitre,2025-06-21T00:00:00.000Z,,"In Yealink RPS before 2025-05-26, the certificate upload function does not properly validate certificate content, potentially allowing invalid certificates to be uploaded.",YEALINK,RPS,0,warm
13372,CVE-2025-52920,mitre,2025-06-23T00:00:00.000Z,,"Innoshop through 0.4.1 allows Insecure Direct Object Reference (IDOR) at multiple places within the frontend shop. Anyone can create a customer account and easily exploit these. Successful exploitation results in disclosure of the PII of other customers and the deletion of their reviews of products on the website. To be specific, an attacker could view the order details of any order by browsing to /en/account/orders/_ORDER_ID_ or use the address and billing information of other customers by manipulating the shipping_address_id and billing_address_id parameters when making an order (this information is then reflected in the receipt). Additionally, an attacker could delete the reviews of other users by sending a DELETE request to /en/account/reviews/_REVIEW_ID.",INNOSHOP,InnoShop,0,warm
13373,CVE-2025-52921,mitre,2025-06-23T00:00:00.000Z,,"In Innoshop through 0.4.1, an authenticated attacker could exploit the File Manager functions in the admin panel to achieve code execution on the server, by uploading a crafted file and then renaming it to have a .php extension by using the Rename Function. This bypasses the initial check that uploaded files are image files. The application relies on frontend checks to restrict the administrator from changing the extension of uploaded files to .php. This restriction is easily bypassed with any proxy tool (e.g., BurpSuite). Once the attacker renames the file, and gives it the .php extension, a GET request can be used to trigger the execution of code on the server.",INNOSHOP,InnoShop,0,hot
13375,CVE-2025-52923,mitre,2025-06-22T00:00:00.000Z,,Sangfor aTrust through 2.4.10 allows users to modify the ExecStartPre command.,SANGFOR,aTrust,2.4.10,warm
13379,CVE-2025-52930,talos,2025-08-25T14:17:36.760Z,,"A memory corruption vulnerability exists in the BMPv3 RLE Decoding functionality of the SAIL Image Decoding Library v0.9.8. When decompressing the image data from a specially crafted .bmp file, a heap-based buffer overflow can occur which allows for remote code execution. An attacker will need to convince the library to read a file to trigger this vulnerability.",SAIL IMAGE DECODING LIBRARY,SAIL Image Decoding Library,v0.9.8,warm
13384,CVE-2025-52938,GovTech CSG,2025-06-23T09:26:39.214Z,Potential heap-based buffer over-read vulnerability in NotepadNext,"Out-of-bounds Read vulnerability in dail8859 NotepadNext (src/lua/src modules). This vulnerability is associated with program files lparser.C.


This issue affects NotepadNext: through v0.11.

The singlevar() in lparser.c lacks a certain luaK_exp2anyregup call, leading to a heap-based buffer over-read that might affect a system that compiles untrusted Lua code.",DAIL8859,NotepadNext,0,warm
13386,CVE-2025-52946,juniper,2025-07-11T14:39:59.014Z,"Junos OS and Junos OS Evolved: With traceoptions enabled, receipt of malformed AS PATH causes RPD crash","A Use After Free vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Juniper Networks Junos OS Evolved allows an attacker sending a BGP update with a specifically malformed AS PATH to cause rpd to crash, resulting in a Denial of Service (DoS). Continuous receipt of the malformed AS PATH attribute will cause a sustained DoS condition.

On all Junos OS and Junos OS Evolved platforms, the rpd process will crash and restart when a specifically malformed AS PATH is received within a BGP update and traceoptions are enabled.

This issue only affects systems with BGP traceoptions enabled and requires a BGP session to be already established.  Systems without BGP traceoptions enabled are not impacted by this issue.



This issue affects:

 Junos OS:



  *  All versions before 21.2R3-S9, 
  *  all versions of 21.4,
  *  from 22.2 before 22.2R3-S6, 
  *  from 22.4 before 22.4R3-S5, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S4, 
  *  from 24.2 before 24.2R2; 




Junos OS Evolved: 



  *  All versions before 22.4R3-S5-EVO, 
  *  from 23.2-EVO before 23.2R2-S3-EVO, 
  *  from 23.4-EVO before 23.4R2-S4-EVO, 
  *  from 24.2-EVO before 24.2R2-EVO.







This is a more complete fix for previously published CVE-2024-39549 (JSA83011).",JUNIPER,Junos OS; Junos OS Evolved,0; 21.4; 22.2; 22.4; 23.2; 23.2-EVO; 23.4; 23.4-EVO; 24.2; 24.2-EVO,hot
13387,CVE-2025-52947,juniper,2025-07-11T14:40:14.792Z,"Junos OS: ACX Series: When 'hot-standby' mode is configured for an L2 circuit, interface flap causes the FEB to crash","An Improper Handling of Exceptional Conditions vulnerability in route processing of Juniper Networks Junos OS on specific end-of-life (EOL) ACX Series platforms allows an attacker to crash the Forwarding Engine Board (FEB) by flapping an interface, leading to a Denial of Service (DoS).

On ACX1000, ACX1100, ACX2000, ACX2100, ACX2200, ACX4000, ACX5048, and ACX5096 devices, FEB0 will crash when the primary path port of the L2 circuit IGP (Interior Gateway Protocol) on the local device goes down. This issue is seen only when 'hot-standby' mode is configured for the L2 circuit.

This issue affects Junos OS on ACX1000, ACX1100, ACX2000, ACX2100, ACX2200, ACX4000, ACX5048, and ACX5096: 



  *  all versions before 21.2R3-S9.",JUNIPER,Junos OS,0,warm
13388,CVE-2025-52948,juniper,2025-07-11T14:40:31.197Z,Junos OS: Specific unknown traffic pattern causes FPC and system to crash when packet capturing is enabled,"An Improper Handling of Exceptional Conditions vulnerability in Berkeley Packet Filter (BPF) processing of Juniper Networks Junos OS allows an attacker, in rare cases, sending specific, unknown traffic patterns to cause the FPC and system to crash and restart.

BPF provides a raw interface to data link layers in a protocol independent fashion. Internally within the Junos kernel, due to a rare timing issue (race condition), when a BPF instance is cloned, the newly created interface causes an internal structure leakage, leading to a system crash. The precise content and timing of the traffic patterns is indeterminate, but has been seen in a lab environment multiple times.

This issue is more likely to occur when packet capturing is enabled.  See required configuration below.

This issue affects Junos OS: 



  *  all versions before 21.2R3-S9, 
  *  from 21.4 before 21.4R3-S10, 
  *  from 22.2 before 22.2R3-S6, 
  *  from 22.4 before 22.4R3-S7, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S3, 
  *  from 24.2 before 24.2R1-S1, 24.2R2.",JUNIPER,Junos OS,0; 21.4; 22.2; 22.4; 23.2; 23.4; 24.2,warm
13389,CVE-2025-52949,juniper,2025-07-11T14:40:41.658Z,"Junos OS and Junos OS Evolved: In an EVPN environment, receipt of specifically malformed BGP update causes RPD crash","An Improper Handling of Length Parameter Inconsistency vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows a logically adjacent BGP peer sending a specifically malformed BGP packet to cause rpd to crash and restart, resulting in a Denial of Service (DoS). Continued receipt and processing of this packet will create a sustained Denial of Service (DoS) condition.

Only systems configured for Ethernet Virtual Private Networking (EVPN) signaling are vulnerable to this issue. 

This issue affects iBGP and eBGP, and both IPv4 and IPv6 are affected by this vulnerability.This issue affects:

Junos OS: 



  *  all versions before 21.4R3-S11, 
  *  from 22.2 before 22.2R3-S7, 
  *  from 22.4 before 22.4R3-S7, 
  *  from 23.2 before 23.2R2-S4, 
  *  from 23.4 before 23.4R2-S5, 
  *  from 24.2 before 24.2R2-S1, 
  *  from 24.4 before 24.4R1-S3, 24.4R2; 




Junos OS Evolved: 



  *  all versions before 22.2R3-S7-EVO, 
  *  from 22.4-EVO before 22.4R3-S7-EVO, 
  *  from 23.2-EVO before 23.2R2-S4-EVO, 
  *  from 23.4-EVO before 23.4R2-S5-EVO, 
  *  from 24.2-EVO before 24.2R2-S1-EVO, 
  *  from 24.4-EVO before 24.4R1-S3-EVO, 24.4R2-EVO.",JUNIPER,Junos OS; Junos OS Evolved,0; 22.2; 22.4; 22.4-EVO; 23.2; 23.2-EVO; 23.4; 23.4-EVO; 24.2; 24.2-EVO; 24.4; 24.4-EVO,warm
13390,CVE-2025-52950,juniper,2025-07-11T14:40:49.980Z,Juniper Security Director: Insufficient authorization for multiple endpoints in web interface,"A Missing Authorization vulnerability in Juniper Networks Security Director allows an unauthenticated network-based attacker to read or tamper with multiple sensitive resources via the web interface.

Numerous endpoints on the Juniper Security Director appliance do not validate authorization and will deliver information to the caller that is outside their authorization level. An attacker can access data that is outside the user's authorization level. The information obtained can be used to gain access to additional information or perpetrate other attacks, impacting downstream managed devices.



This issue affects Security Director version 24.4.1.",JUNIPER,Juniper Security Director,24.4.1,hot
13392,CVE-2025-52952,juniper,2025-07-11T15:04:35.691Z,"Junos OS: MX Series with MPC-BUILTIN, MPC 1 through MPC 9: Receipt and processing of a malformed packet causes one or more FPCs to crash","An Out-of-bounds Write vulnerability in the connectivity fault management (CFM) daemon of Juniper Networks Junos OS on MX Series with MPC-BUILTIN, MPC1 through MPC9 line cards allows an unauthenticated adjacent attacker to send a malformed packet to the device, leading to an FPC crash and restart, resulting in a Denial of Service (DoS).

Continued receipt and processing of this packet will create a sustained Denial of Service (DoS) condition.

This issue affects Juniper Networks:
Junos OS:
  *  All versions before 22.2R3-S1,
  *  from 22.4 before 22.4R2.


This feature is not enabled by default.",JUNIPER,Junos OS,0; 22.4,warm
13393,CVE-2025-52953,juniper,2025-07-11T15:04:55.140Z,Junos OS and Junos OS Evolved: An unauthenticated adjacent attacker sending a valid BGP UPDATE packet forces a BGP session reset,"An Expected Behavior Violation vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows an unauthenticated adjacent attacker sending a valid BGP UPDATE packet to cause a BGP session reset, resulting in a Denial of Service (DoS). 

Continuous receipt and processing of this packet will create a sustained Denial of Service (DoS) condition.

This issue affects iBGP and eBGP and both IPv4 and IPv6 are affected by this vulnerability.

This issue affects Junos OS:


  *  All versions before 21.2R3-S9,
  *  from 21.4 before 21.4R3-S11,
  *  from 22.2 before 22.2R3-S7,
  *  from 22.4 before 22.4R3-S7,
  *  from 23.2 before 23.2R2-S4,
  *  from 23.4 before 23.4R2-S4,
  *  from 24.2 before 24.2R2,
  *  from 24.4 before 24.4R1-S3, 24.4R2


Junos OS Evolved:



  *  All versions before 22.2R3-S7-EVO,
  *  from 22.4-EVO before 22.4R3-S7-EVO,
  *  from 23.2-EVO before 23.2R2-S4-EVO,
  *  from 23.4-EVO before 23.4R2-S4-EVO,
  *  from 24.2-EVO before 24.2R2-EVO,
  *  from 24.4-EVO before 24.4R1-S3-EVO, 24.4R2-EVO.",JUNIPER,Junos OS; Junos OS Evolved,0; 21.4; 22.2; 22.4; 22.4-EVO; 23.2; 23.2-EVO; 23.4; 23.4-EVO; 24.2; 24.2-EVO; 24.4; 24.4-EVO,warm
13394,CVE-2025-52954,juniper,2025-07-11T14:42:02.013Z,"Junos OS Evolved: A low-privileged user can execute arbitrary Junos commands and modify the configuration, thereby compromising the system","A Missing Authorization vulnerability in the internal virtual routing and forwarding (VRF) of Juniper Networks Junos OS Evolved allows a local, low-privileged user to gain root privileges, leading to a system compromise.

Any low-privileged user with the capability to send packets over the internal VRF can execute arbitrary Junos commands and modify the configuration, and thus compromise the system. 

This issue affects Junos OS Evolved: 



  *  All versions before 22.2R3-S7-EVO, 
  *  from 22.4 before 22.4R3-S7-EVO, 
  *  from 23.2 before 23.2R2-S4-EVO, 
  *  from 23.4 before 23.4R2-S5-EVO, 
  *  from 24.2 before 24.2R2-S1-EVO
  *  from 24.4 before 24.4R1-S2-EVO, 24.4R2-EVO.",JUNIPER,Junos OS Evolved,0; 22.4; 23.2; 23.4; 24.2; 24.4,hot
13395,CVE-2025-52955,juniper,2025-07-11T14:42:20.206Z,Junos OS and Junos OS Evolved: When jflow/sflow is configured continuous logical interface flaps causes rpd crash and restart,"An Incorrect Calculation of Buffer Size vulnerability in the routing protocol daemon (rpd) of Juniper Networks Junos OS and Junos OS Evolved allows an adjacent unauthenticated attacker to cause a memory corruption that leads to a rpd crash. 











When
the logical interface using a routing instance flaps continuously, specific updates are sent to the jflow/sflow modules. This results in memory corruption, leading to an rpd crash and restart. 


Continued receipt of these specific updates will cause a sustained Denial of Service condition.


This issue affects Junos OS:

  *  All versions before 21.2R3-S9, 
  *  All versions of 21.4, 
  *  All versions of 22.2, 
  *  from 22.4 before 22.4R3-S7, 
  *  from 23.2 before 23.2R2-S3, 
  *  from 23.4 before 23.4R2-S4, 
  *  from 24.2 before 24.2R2.


Junos OS Evolved: 



  *  All versions of 21.2-EVO, 
  *  All versions of 21.4-EVO, 
  *  All versions of 22.2-EVO, 
  *  from 22.4 before 22.4R3-S7-EVO, 
  *  from 23.2 before 23.2R2-S3-EVO, 
  *  from 23.4 before 23.4R2-S4-EVO, 
  *  from 24.2 before 24.2R2-EVO.",JUNIPER,Junos OS; Junos OS Evolved,0; 21.4; 22.2; 22.4; 23.2; 23.4; 24.2,warm
